,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2019-03-08,55.38199996948242,57.11800003051758,55.178001403808594,56.827999114990234,56.827999114990234,44098000,TSLA,75.702675,58.183998107910156,1.3559989929199219,0.0
2019-03-12,57.29800033569336,57.61399841308594,56.21200180053711,56.672000885009766,56.672000885009766,37520500,TSLA,76.4491,57.79199981689453,1.1199989318847656,0.0
2019-03-15,56.70199966430664,56.74399948120117,54.880001068115234,55.08599853515625,55.08599853515625,73927500,TSLA,75.32883,53.89799880981446,-1.1879997253417898,0.0
2019-04-01,56.52399826049805,57.84000015258789,56.25600051879883,57.83599853515625,57.83599853515625,40552000,TSLA,76.6257,57.17599868774414,-0.6599998474121094,0.0
2019-04-08,55.53799819946289,56.231998443603516,54.0880012512207,54.63999938964844,54.63999938964844,52052000,TSLA,74.712326,54.46200180053711,-0.17799758911132812,0.0
2019-04-11,53.65999984741211,54.099998474121094,53.119998931884766,53.683998107910156,53.683998107910156,49179500,TSLA,73.359,53.540000915527344,-0.1439971923828125,0.0
2019-04-12,54.04399871826172,54.38999938964844,53.36600112915039,53.540000915527344,53.540000915527344,33730000,TSLA,73.57433,53.27600097656249,-0.26399993896485086,0.0
2019-04-18,54.24599838256836,54.96799850463867,53.95000076293945,54.652000427246094,54.652000427246094,29381500,TSLA,74.17683,52.54999923706055,-2.102001190185547,0.0
2019-04-22,53.79999923706055,53.93600082397461,52.49599838256836,52.54999923706055,52.54999923706055,60735500,TSLA,72.89646,52.779998779296875,0.22999954223632812,0.0
2019-04-26,49.29999923706055,49.33599853515625,46.22600173950195,47.02799987792969,47.02799987792969,111803500,TSLA,67.94847,48.29399871826171,1.2659988403320241,0.0
2019-04-29,47.172000885009766,48.79600143432617,46.433998107910156,48.29399871826172,48.29399871826172,83572500,TSLA,67.76555,47.737998962402344,-0.555999755859375,0.0
2019-05-09,48.400001525878906,48.736000061035156,47.38800048828125,48.395999908447266,48.395999908447266,33557000,TSLA,68.37831,47.90399932861328,-0.4920005798339844,0.0
2019-05-13,46.402000427246094,46.49399948120117,44.900001525878906,45.402000427246094,45.402000427246094,54174000,TSLA,66.05037,46.46200180053711,1.0600013732910156,0.0
2019-05-14,45.86000061035156,46.900001525878906,45.599998474121094,46.46200180053711,46.46200180053711,36262000,TSLA,66.50636,46.38999938964844,-0.07200241088867188,0.0
2019-06-05,39.736000061035156,40.25600051879883,38.369998931884766,39.31800079345703,39.31800079345703,67554000,TSLA,60.11123,41.189998626708984,1.8719978332519531,0.0
2019-06-06,40.88800048828125,42.20000076293945,40.36000061035156,41.189998626708984,41.189998626708984,101211000,TSLA,61.686935,40.900001525878906,-0.2899971008300781,0.0
2019-06-14,42.25,43.33000183105469,42.08000183105469,42.98400115966797,42.98400115966797,37167000,TSLA,63.21843,45.00600051879883,2.0219993591308594,0.0
2019-06-19,45.02199935913086,45.55400085449219,44.21200180053711,45.2859992980957,45.2859992980957,32875500,TSLA,65.40659,43.92399978637695,-1.36199951171875,0.0
2019-07-03,47.87799835205078,48.31399917602539,46.902000427246094,46.97999954223633,46.97999954223633,71005500,TSLA,67.61358,46.619998931884766,-0.3600006103515625,0.0
2019-07-08,46.24800109863281,46.45000076293945,45.731998443603516,46.06800079345703,46.06800079345703,29402500,TSLA,66.43887,46.012001037597656,-0.055999755859375,0.0
2019-07-22,51.75,52.43000030517578,50.8380012512207,51.13600158691406,51.13600158691406,34212000,TSLA,71.439964,52.034000396728516,0.8979988098144531,0.0
2019-07-23,51.34199905395508,52.09600067138672,50.900001525878906,52.034000396728516,52.034000396728516,25115500,TSLA,71.53847,52.97600173950195,0.9420013427734375,0.0
2019-07-24,51.83399963378906,53.2140007019043,51.63199996948242,52.97600173950195,52.97600173950195,55364000,TSLA,72.22359,45.763999938964844,-7.212001800537109,0.0
2019-07-26,45.38399887084961,46.051998138427734,44.45000076293945,45.608001708984375,45.608001708984375,50138500,TSLA,65.68576,47.15399932861328,1.5459976196289062,0.0
2019-08-01,48.529998779296875,48.902000427246094,46.354000091552734,46.77000045776367,46.77000045776367,41297500,TSLA,67.77823,46.86800003051758,0.09799957275390625,0.0
2019-08-02,46.27000045776367,47.25400161743164,45.84600067138672,46.86800003051758,46.86800003051758,30682500,TSLA,66.850655,45.66400146484375,-1.2039985656738281,0.0
2019-08-21,44.402000427246094,44.64400100708008,43.52000045776367,44.16600036621094,44.16600036621094,38971500,TSLA,64.60579,44.430000305175774,0.26399993896483664,0.0
2019-08-23,43.99399948120117,44.23400115966797,42.20000076293945,42.279998779296875,42.279998779296875,42693000,TSLA,63.637928,43.0,0.720001220703125,0.0
2019-09-03,44.816001892089844,45.790000915527344,44.63199996948242,45.00199890136719,45.00199890136719,26770500,TSLA,65.4689,44.13600158691406,-0.865997314453125,0.0
2019-09-04,45.37799835205078,45.69200134277344,43.84199905395508,44.13600158691406,44.13600158691406,28805000,TSLA,65.15776,45.91600036621094,1.779998779296875,0.0
2019-09-05,44.5,45.959999084472656,44.16999816894531,45.91600036621094,45.91600036621094,36976500,TSLA,65.523445,45.49000167846679,-0.42599868774414773,0.0
2019-09-10,46.15999984741211,47.108001708984375,45.78799819946289,47.108001708984375,47.108001708984375,24418500,TSLA,66.85842,49.41999816894531,2.3119964599609375,0.0
2019-09-13,49.391998291015625,49.689998626708984,48.9739990234375,49.040000915527344,49.040000915527344,26565500,TSLA,69.36828,48.56200027465821,-0.4780006408691335,0.0
2019-09-23,48.0,49.0359992980957,47.84400177001953,48.24599838256836,48.24599838256836,21701000,TSLA,68.47497,44.64199829101562,-3.6040000915527415,0.0
2019-09-24,48.30400085449219,48.39799880981445,44.52199935913086,44.641998291015625,44.641998291015625,64457500,TSLA,66.59813,45.74000167846679,1.0980033874511648,0.0
2019-09-27,48.439998626708984,49.742000579833984,47.74599838256836,48.42599868774414,48.42599868774414,55582000,TSLA,68.65536,48.17399978637695,-0.2519989013671875,0.0
2019-10-03,46.37200164794922,46.895999908447266,44.85599899291992,46.60599899291992,46.60599899291992,75422500,TSLA,66.376366,46.2859992980957,-0.31999969482421875,0.0
2019-10-16,51.47800064086914,52.41999816894531,51.38399887084961,51.95000076293945,51.95000076293945,33420500,TSLA,71.71179,52.39400100708008,0.444000244140625,0.0
